Project,Subproject of Deployments_annotated.jmp,Deployment,Deployme_1,Date_Out,Date_Retri,First_Dete,Survey_Day,Latitude,Longitude,Time_Zone,Habitat,Feature_Wa,Feature_Ro,Feature_Hu,Feature__1,Feature_Lo,Vegetation,Vegetati_1,Vegetati_2,Camera_Hei,Resticted_,Obstructed,Wide,gppcum_0.5deg,gppmin_0.5deg,gppvar_0.5deg,GPP_VAR1km,GPP_min1km,CUM_GPP1km,cultiv1km,gpw_v4_pop,GPP_Cum_combo,GPP_Min_combo,GPP_Var_combo,pop_log1p,GPP_min_combo_log1p,Subproject of untitled 3,Deployment_Name,N(Abert's Squirrel),N(Allen's Chipmunk),N(American Badger),N(American Beaver),N(American Bison),N(American Black Bear),N(American Marten),N(American Mink),N(American Red Squirrel),N(American Robin),N(Arizona Gray Squirrel),N(Bald Eagle),N(Bicycle),N(Black Vulture),N(Black-tailed Jackrabbit),N(Black-tailed Prairie Dog),N(Bobcat),N(Brown Bear),N(Brush Rabbit),N(Bushy-tailed Woodrat),N(California Quail),N(Camera Trapper),N(Canada Goose),N(Canada Lynx),N(Cliff Chipmunk),N(Collared Peccary),N(Common Pheasant),N(Corvid species),N(Coyote),N(Desert Cottontail),N(Desert Woodrat),N(Domestic Cat),N(Domestic Cow),N(Domestic Dog),N(Domestic Horse),N(Domestic Sheep),N(Douglas's Squirrel),N(Dusky Grouse),N(Eastern Chipmunk),N(Eastern Cottontail),N(Eastern Fox Squirrel),N(Eastern Gray Squirrel),N(Eastern Woodrat),N(Ermine),N(Fisher),N(Gambel's Quail),N(Gemsbok),N(Golden Eagle),N(Gray Wolf),N(Great Blue Heron),N(Greater Roadrunner),N(Grey Fox),N(Harris's Antelope Squirrel),N(Human non-staff),N(Javan Mongoose),N(Kit Fox),N(Least Chipmunk),N(Long-tailed Weasel),N(Marsh Rabbit),N(Merriam's Kangaroo Rat),N(Mexican Woodrat),N(Moose),N(Mountain Beaver),N(Mountain Cottontail),N(Mountain Quail),N(Mule Deer),N(Muskrat),N(Nine-banded Armadillo),N(No Animal),N(North American Otter),N(North American Porcupine),N(Northern Flying Squirrel),N(Northern Raccoon),N(Other Bird species),N(Owl species),N(Peromyscus species),N(Pronghorn),N(Puma),N(Pygmy Rabbit),N(Raptor species),N(Rattus species),N(Red Fox),N(Red Wolf),N(Reptile species),N(Ringtail),N(Rock Squirrel),N(Ruffed Grouse),N(Sharp-tailed Grouse),N(Snowshoe Hare),N(Southern Flying Squirrel),N(Spruce Grouse),N(Striped Skunk),N(Swamp Rabbit),N(Townsend's Chipmunk),N(Turkey Vulture),N(Uinta Chipmunk),N(Unknown Animal),N(Unknown Bear),N(Unknown Bird),N(Unknown Canid),N(Unknown Cervid),N(Unknown Chipmunk),N(Unknown Cottontail),N(Unknown Flying Squirrel),N(Unknown Ground Squirrel),N(Unknown Ground-Dove),N(Unknown Large Weasel_Badger_Otter),N(Unknown Pig_Peccary),N(Unknown Rabbit_Hare),N(Unknown Raptor),N(Unknown Skunk),N(Unknown Small Mammal),N(Unknown Small Weasel),N(Unknown Squirrel),N(Unknown Woodrat),N(Vehicle),N(Virginia Opossum),N(Wapiti),N(Western Gray Squirrel),N(Western Spotted Skunk),N(White-tailed Antelope Squirrel),N(White-tailed Deer),N(White-tailed Jackrabbit),N(Wild Boar),N(Wild Turkey),N(Woodchuck)
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_1,d59133,09/02/2019,09/16/2019,09/02/2019,14,34.04334,-79.79411,EST,forest,0,0,0,0,0,medium,high,high,1,0,0,1,12091.3,58.4661,0.505391,0.540394,39,10642,0.0367309,91.4726,10642,39,0.540394,4.5269123844,3.6888794541,SC_Forest_Lynches_River,SC_Forest_Lynches_River_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_10,d59142,09/30/2019,11/02/2019,09/30/2019,33,34.0396,-79.79523,EST,forest,0,0,0,0,0,medium,high,high,2,0,0,1,12105.5,58.5234,0.504802,0.595632,38,11576,0.0624426,15.5029,11576,38,0.595632,2.803536123,3.6635616461,SC_Forest_Lynches_River,SC_Forest_Lynches_River_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,144,0,0,2,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_11,d59143,09/30/2019,11/02/2019,09/30/2019,33,34.03801,-79.79412,EST,forest,0,0,0,0,0,medium,high,high,1,0,0,1,12105.5,58.5234,0.504802,0.595632,38,11576,0.0422406,15.5029,11576,38,0.595632,2.803536123,3.6635616461,SC_Forest_Lynches_River,SC_Forest_Lynches_River_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,8,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_12,d59144,09/30/2019,11/02/2019,10/01/2019,33,34.03844,-79.79137,EST,forest,0,0,0,0,0,medium,high,high,2,0,1,1,12139.7,58.905,0.505136,0.482386,80,15225,0.0110193,23.7529,15225,80,0.482386,3.2089426539,4.3944491547,SC_Forest_Lynches_River,SC_Forest_Lynches_River_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,70,0,0,1,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_13,d59145,09/30/2019,10/30/2019,09/30/2019,30,34.03631,-79.79267,EST,forest,0,0,0,0,0,Low,Low,Low,1,0,0,0,12139.7,58.905,0.505136,0.482386,80,15225,0.0229568,15.5029,15225,80,0.482386,2.803536123,4.3944491547,SC_Forest_Lynches_River,SC_Forest_Lynches_River_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,210,0,0,3,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_14,d59146,09/30/2019,10/31/2019,09/30/2019,31,34.03547,-79.79028,EST,forest,0,0,0,0,0,Low,Low,Low,1,0,0,0,12139.7,58.905,0.505136,0.482386,80,15225,0.0275482,23.7529,15225,80,0.482386,3.2089426539,4.3944491547,SC_Forest_Lynches_River,SC_Forest_Lynches_River_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,1,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_15,d59147,10/01/2019,11/02/2019,10/01/2019,32,34.03894,-79.78915,EST,forest,0,0,0,0,0,high,high,medium,1,0,0,1,12139.7,58.905,0.505136,0.482386,80,15225,0.00550964,23.7529,15225,80,0.482386,3.2089426539,4.3944491547,SC_Forest_Lynches_River,SC_Forest_Lynches_River_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_16,d59148,09/30/2019,10/23/2019,09/30/2019,23,34.04061,-79.7877,EST,forest,0,0,0,0,0,medium,high,high,1,0,0,1,12139.7,58.905,0.505136,0.482386,80,15225,0.00734619,23.7529,15225,80,0.482386,3.2089426539,4.3944491547,SC_Forest_Lynches_River,SC_Forest_Lynches_River_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,28,0,0,1,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_2B,d64631,09/02/2019,09/30/2019,09/02/2019,28,34.04475,-79.7923,EST,forest,0,0,0,0,0,Low,Low,Low,1,0,0,0,12127.1,58.8622,0.505725,0.600316,51,13719,0.0348944,91.4726,13719,51,0.600316,4.5269123844,3.9512437186,SC_Forest_Lynches_River,SC_Forest_Lynches_River_2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_3B,d64632,09/02/2019,09/29/2019,09/02/2019,27,34.04513,-79.78767,EST,forest,0,0,1,0,0,0,Low,0,1,0,0,0,12127.1,58.8622,0.505725,0.600316,51,13719,0.0385675,44.2544,13719,51,0.600316,3.812299903,3.9512437186,SC_Forest_Lynches_River,SC_Forest_Lynches_River_3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_4,d59136,09/02/2019,09/27/2019,09/02/2019,25,34.04707,-79.78592,EST,forest,0,0,0,0,0,high,high,high,2,0,0,1,12127.1,58.8622,0.505725,0.600316,51,13719,0.0651974,44.2544,13719,51,0.600316,3.812299903,3.9512437186,SC_Forest_Lynches_River,SC_Forest_Lynches_River_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,6,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_5,d59137,09/02/2019,09/29/2019,09/02/2019,27,34.04919,-79.785,EST,forest,0,0,0,0,0,high,high,high,1,0,0,1,12170.7,59.3572,0.505947,0.585296,46,11959,0.0688705,44.2544,11959,46,0.585296,3.812299903,3.8501476017,SC_Forest_Lynches_River,SC_Forest_Lynches_River_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,0,0,1,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_6,d59138,09/02/2019,09/30/2019,09/02/2019,28,34.04943,-79.78157,EST,forest,0,0,0,0,0,medium,low,high,1,0,0,1,12170.7,59.3572,0.505947,0.585296,46,11959,0.0789715,22.6802,11959,46,0.585296,3.1646392559,3.8501476017,SC_Forest_Lynches_River,SC_Forest_Lynches_River_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_7,d59139,09/02/2019,09/30/2019,09/02/2019,28,34.04722,-79.78153,EST,forest,0,0,0,0,0,Low,High,0,1,0,0,0,12170.7,59.3572,0.505947,0.585296,46,11959,0.0844812,22.6802,11959,46,0.585296,3.1646392559,3.8501476017,SC_Forest_Lynches_River,SC_Forest_Lynches_River_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_8,d59140,09/02/2019,09/30/2019,09/02/2019,28,34.04496,-79.78475,EST,forest,1,0,0,0,1,low,low,medium,1,0,0,1,12170.7,59.3572,0.505947,0.585296,46,11959,0.0578512,44.2544,11959,46,0.585296,3.812299903,3.8501476017,SC_Forest_Lynches_River,SC_Forest_Lynches_River_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0
Snapshot USA - 2019,SC_Forest_Lynches_River,SC_Forest_Lynches_River_9,d59141,09/30/2019,11/02/2019,09/30/2019,33,34.04171,-79.79518,EST,forest,0,0,0,0,0,low,low,high,1,0,0,1,12105.5,58.5234,0.504802,0.595632,38,11576,0.0587695,91.4726,11576,38,0.595632,4.5269123844,3.6635616461,SC_Forest_Lynches_River,SC_Forest_Lynches_River_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_AngolaBayGL_Forest_1_Fall19,d55674,09/13/2019,10/03/2019,09/13/2019,20,34.64864,-77.74722,EST,forest,0,0,0,0,0,low,medium,high,1,0,0,0,20677,130.535,0.450042,0.3485,163,20876,0.108356,0.667844,20876,163,0.3485,0.5115317744,5.0998664278,NC_Pender County,NC_AngolaBayGL_Forest_1_Fall19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0
North Carolina's Candid Critters,NC_Pender County,NC_AngolaBayGL_Forest_11_Fall19,d55676,08/22/2019,09/12/2019,08/22/2019,21,34.63543,-77.84496,EST,grassland,0,0,0,0,0,high,0,low,0,0,0,0,19727.5,126.868,0.442409,0.381224,185,25569,0.00183655,4.6301,25569,185,0.381224,1.728127204,5.2257466737,NC_Pender County,NC_AngolaBayGL_Forest_11_Fall19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_AngolaBayGL_Forest_9_Fall19,d55677,08/22/2019,09/12/2019,08/22/2019,21,34.64944,-77.79051,EST,forest,0,0,0,0,0,low,medium,high,2,0,0,0,20180.6,128.346,0.446583,0.371606,197,27572,0,1.35354,27572,197,0.371606,0.8559205777,5.2882670307,NC_Pender County,NC_AngolaBayGL_Forest_9_Fall19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_Exton_L_Pender_7405,d61156,08/25/2019,09/07/2019,08/25/2019,13,34.58848,-77.81257,EST,forest,0,0,0,0,0,Low,Low,Medium,1,0,0,0,20473,131.797,0.449805,0.545399,65,15641,0,5.00002,15641,65,0.545399,1.7917628026,4.189654742,NC_Pender County,NC_Exton_L_Pender_7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_Exton_L_Pender_7406,d61157,08/25/2019,09/20/2019,08/25/2019,26,34.59377,-77.81601,EST,forest,0,0,0,0,0,Low,Low,Low,1,0,0,0,20388.8,131.056,0.44874,0.402715,123,18828,0,3.13519,18828,123,0.402715,1.4195332766,4.8202815656,NC_Pender County,NC_Exton_L_Pender_7406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_Exton_L_Pender_7407,d61158,08/25/2019,09/23/2019,08/25/2019,29,34.59143,-77.80873,EST,forest,0,0,0,0,0,Low,Low,Low,1,0,0,0,20474.2,131.435,0.448178,0.363371,151,19421,0,5.00002,19421,151,0.363371,1.7917628026,5.0238805208,NC_Pender County,NC_Exton_L_Pender_7407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_Exton_L_Pender_7408,d61159,08/25/2019,09/23/2019,08/25/2019,29,34.5903,-77.80517,EST,forest,0,0,0,0,0,Low,Low,Medium,2,0,0,0,20563.1,132.225,0.449186,0.36946,190,26812,0,1.50266,26812,190,0.36946,0.9173541662,5.252273428,NC_Pender County,NC_Exton_L_Pender_7408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_Exton_L_Pender_7409,d61154,08/25/2019,09/13/2019,08/25/2019,19,34.59303,-77.80349,EST,forest,0,0,0,0,0,Low,Low,0,1,0,0,0,20474.2,131.435,0.448178,0.363371,151,19421,0,2.99185,19421,151,0.363371,1.3842547826,5.0238805208,NC_Pender County,NC_Exton_L_Pender_7409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_HollyShelterGL_Forest_13_Fall19,d55678,09/13/2019,10/04/2019,09/13/2019,21,34.54214,-77.80784,EST,forest,0,0,0,0,0,High,High,0,1,0,0,0,20792.7,133.773,0.453459,0.387917,126,26684,0.00826446,1.58391,26684,126,0.387917,0.9493037556,4.8441870865,NC_Pender County,NC_HollyShelterGL_Forest_13_Fall19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
North Carolina's Candid Critters,NC_Pender County,NC_HollyShelterGL_Forest_19_Fall19,d55679,09/17/2019,10/04/2019,09/17/2019,17,34.55835,-77.67464,EST,forest,0,0,0,0,0,High,Low,Low,1,0,0,0,22305.9,139.771,0.464485,0.399626,135,28060,0.00183655,0,28060,135,0.399626,0,4.9126548857,NC_Pender County,NC_HollyShelterGL_Forest_19_Fall19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,2,0
North Carolina's Candid Critters,NC_Pender County,NC_HollyShelterGL_Forest_20_Fall19,d55680,09/13/2019,10/04/2019,09/13/2019,21,34.56456,-77.73872,EST,forest,0,0,0,0,0,High,High,0,1,0,0,0,21549.6,136.737,0.460633,0.399881,125,27193,0.0156107,0.00178368,27193,125,0.399881,0.0017820911,4.836281907,NC_Pender County,NC_HollyShelterGL_Forest_20_Fall19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
